name	len	score	pvalue
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90000_classid_1	1026	0.9964265823364258	0.005551778835259461
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90001_classid_0	1026	1.0640400205375045e-06	0.8694198957625199
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90002_classid_0	1026	0.30917981266975403	0.11705944557746054
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90003_classid_0	1026	2.1776854097765863e-08	0.9557179545282877
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90004_classid_1	1026	0.964956521987915	0.011632298511972203
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90005_classid_1	1026	0.9999967813491821	0.0005098572399728076
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90006_classid_0	1026	0.026391876861453056	0.2763426240652617
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90007_classid_0	1026	3.3927933600352844e-06	0.8276493692877106
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90008_classid_1	1026	1.0	0.0
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90009_classid_1	1026	0.90626060962677	0.01725961175315356
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90010_classid_0	1026	3.52865899913013e-05	0.7182000151068811
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90011_classid_1	1026	1.0	0.0
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90012_classid_1	1026	1.0	0.0
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90013_classid_1	1026	0.9999980330467224	0.00045320643553138455
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90014_classid_1	1026	1.0	0.0
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90015_classid_0	1026	0.7877727746963501	0.026248206057859356
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90016_classid_1	1026	0.9996626377105713	0.002435984590981192
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90017_classid_1	1026	0.9990030527114868	0.0036256514842510764
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90018_classid_0	1026	0.0015585041837766767	0.47779288465896214
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90019_classid_1	1026	0.9999994039535522	0.0003399048266485384
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90020_classid_0	1026	9.381843483424746e-06	0.784594757912229
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90021_classid_1	1026	0.34402501583099365	0.10903391494825893
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90022_classid_0	1026	0.019140709191560745	0.29775662814411963
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90023_classid_0	1026	0.0012386951129883528	0.49359845909811917
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90024_classid_0	1026	4.864117997271933e-08	0.9435569151748622
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90025_classid_1	1026	0.10938236117362976	0.18419064884054687
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90026_classid_0	1026	0.010125471279025078	0.34315280610318
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90027_classid_1	1026	0.9974280595779419	0.005023037993806179
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90028_classid_1	1026	0.9999996423721313	0.00026437042072664096
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90029_classid_1	1026	0.9997134208679199	0.002284915779137397
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90030_classid_1	1026	0.9999996423721313	0.00026437042072664096
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90031_classid_1	1026	0.4373617470264435	0.08692121761462346
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_90032_classid_0	1026	0.002873946214094758	0.4336430243976131
